ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
1.4	0,98765432	1,0	1,0	1,0	1,0	0,98734177
1.5	0,90909091	1,0	1,0	0,98245614	1,0	0,94230769
1.6	0,960047	1,0	0,99919159	0,98761835	0,99404762	0,89405278
1.7	1,0	1,0	1,0	0,95652174	1,0	1,0
1.1	0,98321343	0,99716714	0,98157895	0,97909408	0,90196078	0,96850394
1.2	0,97902098	0,99578059	0,98892989	0,98723404	1,0	0,9347079
1.3	0,88683603	1,0	1,0	0,99555555	1,0	0,86738351
3.13	1,0	1,0	1,0	1,0	0	1,0
1.8	0,71861472	0,98648648	0,98795181	0,98013245	1,0	0,72573839
1.9	0,87671233	0,95384616	1,0	1,0	0,84210526	0,94117647
3.6	0,72007913	0,97179126	0,95987654	0,9588581	0,78378378	0,5475928
3.7	0,93333333	1,0	1,0	1,0	1,0	1,0
3.4	0,96057348	0,99350649	0,98327759	0,98176718	0,98227848	0,98113207
6.4	0,96	1,0	1,0	1,0	0,98305085	0,96511628
6.3	0,95945946	0,98876405	0,99658703	0,99224806	0,99115044	0,96710526
6.2	1,0	1,0	0,96124031	0,94845361	0	0,9906542
6.1	1,0	1,0	1,0	1,0	0,97959184	0,97560975
3.1	0,94820717	0,98027314	0,95683453	0,94414894	0,94901961	0,92402718
2.3	0,96793003	0,99879952	0,97894737	0,97336562	0,99115044	0,93907563
1.97	0,97405189	1,0	0	0	0	0
2.1	0,97490093	0,98924731	0,87323944	0,85253456	0,98723404	0,97359736
2.7	0,93316583	0,98015765	0,99411534	0,9947479	0,96634615	0,95742042
2.6	0,98064516	0,99280576	0,97959184	0,984375	0,91803279	0,96688742
2.5	0,98519515	0,98554913	0,98092643	0,98507463	0,99152543	0,97357441
2.4	0,94934074	1,0	0,98604651	0,9877551	0,99003322	0,96376812
1.16	0,93939394	0,93939394	0,93939394	0,90909091	1,0	1,0
1.17	0,96	1,0	0,97959184	1,0	0,93333333	0,79245283
5.2	0,97619048	0,99346405	0,96062992	0,96666667	1,0	0,96644296
4.6	0,92307692	1,0	0,93333333	0,82352941	1,0	0,69565217
4.1	0,99250936	0,99868594	0,99214659	0,99027553	0,99872286	0,98742138
5.5	0,96296296	0,99502488	0,97727273	0,96296296	1,0	0,94623656
1.10	0,74538746	1,0	0,99672131	1,0	0,91891892	0,91162791
4.2	0,96345515	0,98393078	0,98107715	0,97297297	1,0	0,9790795
1.18	1,0	1,0	1,0	0,96296296	0	1,0
2.2	0,94117647	0,93877551	0,93877551	0,93333333	0,8	0,93877551
2.10	1,0	1,0	1,0	1,0	0	0
5.99	0,90566038	1,0	1,0	1,0	1,0	0,90196078
5.1	0,95049505	1,0	0,96629214	0,96385542	1,0	1,0
1.14	0,98004435	0,99854015	0,99374218	0,99586777	0,9261745	0,96522949
5.3	0,91818182	0,99516908	0,98522168	0,9882353	0,94594595	0,87843137
5.4	0,99591837	0,99038461	0,97272727	0,97468354	0,97435897	0,9704142
1.13	0,98969072	1,0	0,95522388	0,95327103	0,96907216	0,97560975
4.4	0,98076923	0,99082569	0,98989899	0,98181818	0,84210526	0,96428571
4.3	0,92307692	0,99280576	0,98648648	0,99082569	0,93877551	0,93181818
6.6	1,0	1,0	1,0	1,0	1,0	1,0
1.11	0,98814229	0,99787686	0,99371069	0,99734748	1,0	0,93840579
6.5	0,88888889	0,8	1,0	1,0	1,0	0,43478261
4.99	0,51612904	0,94736842	0,66666667	0,78260869	1,0	0,9
2.8	0,8907563	1,0	1,0	0,98876405	1,0	0,95049505
3.5	0,89138577	0,98550725	0,96498055	0,9661017	0,875	0,87937743
1.23	0,94117647	0,94117647	0,94117647	1,0	0	1,0
3.2	0,96082779	0,99392888	0,9811828	0,99168975	0,94277929	0,96403979
1.21	0,76923077	0,90909091	0	0	0	0,83333333
1.20	1,0	1,0	1,0	1,0	0	1,0
1.15	0,99270073	1,0	1,0	1,0	1,0	0,97674418
3.3	0,96969697	1,0	1,0	1,0	1,0	1,0
