ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
1.4	0,97560976	1,0	1,0	1,0	1,0	0,975
1.5	0,83333333	1,0	1,0	0,96551724	1,0	0,89090909
1.6	0,92316384	1,0	0,99838449	0,97553957	0,98816568	0,80840456
1.7	1,0	1,0	1,0	0,91666667	1,0	1,0
1.1	0,96698113	0,99435028	0,96382429	0,95904437	0,82142857	0,9389313
1.2	0,95890411	0,99159664	0,97810219	0,97478992	1,0	0,87741935
1.3	0,7966805	1,0	1,0	0,99115044	1,0	0,76582278
3.13	1,0	1,0	1,0	1,0	0	1,0
1.8	0,56081081	0,97333333	0,97619048	0,96103896	1,0	0,56953642
1.9	0,7804878	0,91176471	1,0	1,0	0,72727273	0,88888889
3.6	0,5625966	0,94513032	0,92284866	0,92096774	0,64444444	0,37702429
3.7	0,875	1,0	1,0	1,0	1,0	1,0
3.4	0,92413793	0,98709677	0,96710526	0,96418733	0,96517413	0,96296296
6.4	0,92307692	1,0	1,0	1,0	0,96666667	0,93258427
6.3	0,92207792	0,97777778	0,99319728	0,98461538	0,98245614	0,93630573
6.2	1,0	1,0	0,92537313	0,90196078	0	0,98148148
6.1	1,0	1,0	1,0	1,0	0,96	0,95238095
3.1	0,90151515	0,96130952	0,91724138	0,89420655	0,90298507	0,85878301
2.3	0,93785311	0,99760192	0,95876289	0,94811321	0,98245614	0,88514851
1.97	0,94941634	1,0	0	0	0	0
2.1	0,95103093	0,9787234	0,775	0,74297189	0,97478992	0,94855305
2.7	0,87470561	0,96108742	0,98829953	0,98955068	0,93488372	0,91831879
2.6	0,96202532	0,98571429	0,96	0,96923077	0,84848485	0,93589744
2.5	0,97082228	0,97150997	0,96256684	0,97058824	0,98319328	0,94850949
2.4	0,90356671	1,0	0,97247706	0,97580645	0,98026316	0,93006993
1.16	0,88571429	0,88571429	0,88571429	0,83333333	1,0	1,0
1.17	0,92307692	1,0	0,96	1,0	0,875	0,65625
5.2	0,95348837	0,98701299	0,92424242	0,93548387	1,0	0,93506494
4.6	0,85714286	1,0	0,875	0,7	1,0	0,53333333
4.1	0,98513011	0,99737533	0,98441558	0,98073836	0,99744898	0,97515528
5.5	0,92857143	0,99009901	0,95555556	0,92857143	1,0	0,89795918
1.10	0,59411765	1,0	0,99346405	1,0	0,85	0,83760684
4.2	0,92948718	0,96836983	0,96285714	0,94736842	1,0	0,95901639
1.18	1,0	1,0	1,0	0,92857143	0	1,0
2.2	0,88888889	0,88461538	0,88461538	0,875	0,66666667	0,88461538
2.10	1,0	1,0	1,0	1,0	0	0
5.99	0,82758621	1,0	1,0	1,0	1,0	0,82142857
5.1	0,90566038	1,0	0,93478261	0,93023256	1,0	1,0
1.14	0,96086957	0,99708455	0,98756219	0,99176955	0,8625	0,9327957
5.3	0,8487395	0,99038462	0,97087379	0,97674419	0,8974359	0,78321678
5.4	0,99186992	0,98095238	0,94690265	0,95061728	0,95	0,94252874
1.13	0,97959184	1,0	0,91428571	0,91071429	0,94	0,95238095
4.4	0,96226415	0,98181818	0,98	0,96428571	0,72727273	0,93103448
4.3	0,85714286	0,98571429	0,97333333	0,98181818	0,88461538	0,87234043
6.6	1,0	1,0	1,0	1,0	1,0	1,0
1.11	0,9765625	0,99576271	0,9875	0,99470899	1,0	0,88395904
6.5	0,8	0,66666667	1,0	1,0	1,0	0,27777778
4.99	0,34782609	0,9	0,5	0,64285714	1,0	0,81818182
2.8	0,8030303	1,0	1,0	0,97777778	1,0	0,90566038
3.5	0,80405405	0,97142857	0,93233083	0,93442623	0,77777778	0,78472222
1.23	0,88888889	0,88888889	0,88888889	1,0	0	1,0
3.2	0,92460882	0,98793103	0,96306069	0,98351648	0,89175258	0,93057607
1.21	0,625	0,83333333	0	0	0	0,71428571
1.20	1,0	1,0	1,0	1,0	0	1,0
1.15	0,98550725	1,0	1,0	1,0	1,0	0,95454545
3.3	0,94117647	1,0	1,0	1,0	1,0	1,0
