ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
1.4	1,0	1,0	1,0	1,0	1,0	1,0
1.5	1,0	1,0	1,0	1,0	1,0	1,0
1.6	1,0	1,0	1,0	1,0	1,0	1,0
1.7	1,0	1,0	1,0	1,0	1,0	1,0
1.1	1,0	1,0	1,0	1,0	1,0	1,0
1.2	1,0	1,0	1,0	1,0	1,0	1,0
1.3	1,0	1,0	1,0	1,0	1,0	1,0
3.13	1,0	1,0	1,0	1,0	0	1,0
1.8	1,0	1,0	1,0	1,0	1,0	1,0
1.9	1,0	1,0	1,0	1,0	1,0	1,0
3.6	1,0	1,0	1,0	1,0	1,0	1,0
3.7	1,0	1,0	1,0	1,0	1,0	1,0
3.4	1,0	1,0	1,0	1,0	1,0	1,0
6.4	1,0	1,0	1,0	1,0	1,0	1,0
6.3	1,0	1,0	1,0	1,0	1,0	1,0
6.2	1,0	1,0	1,0	1,0	0	1,0
6.1	1,0	1,0	1,0	1,0	1,0	1,0
3.1	1,0	1,0	1,0	1,0	1,0	1,0
2.3	1,0	1,0	1,0	1,0	1,0	1,0
1.97	1,0	1,0	0	0	0	0
2.1	1,0	1,0	1,0	1,0	1,0	1,0
2.7	1,0	1,0	1,0	1,0	1,0	1,0
2.6	1,0	1,0	1,0	1,0	1,0	1,0
2.5	1,0	1,0	1,0	1,0	1,0	1,0
2.4	1,0	1,0	1,0	1,0	1,0	1,0
1.16	1,0	1,0	1,0	1,0	1,0	1,0
1.17	1,0	1,0	1,0	1,0	1,0	1,0
5.2	1,0	1,0	1,0	1,0	1,0	1,0
4.6	1,0	1,0	1,0	1,0	1,0	1,0
4.1	1,0	1,0	1,0	1,0	1,0	1,0
5.5	1,0	1,0	1,0	1,0	1,0	1,0
1.10	1,0	1,0	1,0	1,0	1,0	1,0
4.2	1,0	1,0	1,0	1,0	1,0	1,0
1.18	1,0	1,0	1,0	1,0	0	1,0
2.2	1,0	1,0	1,0	1,0	1,0	1,0
2.10	1,0	1,0	1,0	1,0	0	0
5.99	1,0	1,0	1,0	1,0	1,0	1,0
5.1	1,0	1,0	1,0	1,0	1,0	1,0
1.14	1,0	1,0	1,0	1,0	1,0	1,0
5.3	1,0	1,0	1,0	1,0	1,0	1,0
5.4	1,0	1,0	1,0	1,0	1,0	1,0
1.13	1,0	1,0	1,0	1,0	1,0	1,0
4.4	1,0	1,0	1,0	1,0	1,0	1,0
4.3	1,0	1,0	1,0	1,0	1,0	1,0
6.6	1,0	1,0	1,0	1,0	1,0	1,0
1.11	1,0	1,0	1,0	1,0	1,0	1,0
6.5	1,0	1,0	1,0	1,0	1,0	1,0
4.99	1,0	1,0	1,0	1,0	1,0	1,0
2.8	1,0	1,0	1,0	1,0	1,0	1,0
3.5	1,0	1,0	1,0	1,0	1,0	1,0
1.23	1,0	1,0	1,0	1,0	0	1,0
3.2	1,0	1,0	1,0	1,0	1,0	1,0
1.21	1,0	1,0	0	0	0	1,0
1.20	1,0	1,0	1,0	1,0	0	1,0
1.15	1,0	1,0	1,0	1,0	1,0	1,0
3.3	1,0	1,0	1,0	1,0	1,0	1,0
