EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
3.4.14       	E2P2         	3      	32     	0      	1.0          	0.08571429   	0.15789474   	5      	-2.0            
3.4.14       	PRIAM        	3      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.4.14       	KOALA        	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.4.14       	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.4.14       	INTERPRO     	1      	0      	0      	1.0          	1.0          	1.0          	5      	0.5             
3.1.2        	E2P2         	23     	1      	0      	1.0          	0.95833333   	0.9787234    	6      	0.06794828      
3.1.2        	PRIAM        	18     	0      	0      	1.0          	1.0          	1.0          	6      	0.53387996      
3.1.2        	KOALA        	21     	0      	0      	1.0          	1.0          	1.0          	6      	0.53387996      
3.1.2        	KAAS         	14     	0      	0      	1.0          	1.0          	1.0          	6      	0.53387996      
3.1.2        	INTERPRO     	5      	0      	0      	1.0          	1.0          	1.0          	6      	0.53387996      
3.1.2        	Blast2Go     	21     	6      	0      	1.0          	0.77777778   	0.875        	6      	-2.20346813     
3.1.1        	E2P2         	271    	32     	0      	1.0          	0.89438944   	0.94425087   	6      	0.61441764      
3.1.1        	PRIAM        	152    	15     	0      	1.0          	0.91017964   	0.95297806   	6      	0.9411676       
3.1.1        	KOALA        	125    	18     	0      	1.0          	0.87412587   	0.93283582   	6      	0.18703298      
3.1.1        	KAAS         	59     	17     	0      	1.0          	0.77631579   	0.87407407   	6      	-2.01303366     
3.1.1        	INTERPRO     	22     	4      	0      	1.0          	0.84615385   	0.91666667   	6      	-0.41834735     
3.1.1        	Blast2Go     	220    	25     	0      	1.0          	0.89795918   	0.94623656   	6      	0.68876278      
3.4.17       	PRIAM        	1      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
3.4.17       	KAAS         	2      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
3.4.17       	E2P2         	5      	1      	0      	1.0          	0.83333333   	0.90909091   	4      	-1.73205081     
3.4.17       	KOALA        	5      	0      	0      	1.0          	1.0          	1.0          	4      	0.57735027      
3.1.7        	PRIAM        	4      	0      	0      	1.0          	1.0          	1.0          	4      	1.18244095      
3.1.7        	Blast2Go     	2      	7      	0      	1.0          	0.22222222   	0.36363636   	4      	-1.23031306     
3.1.7        	E2P2         	4      	1      	0      	1.0          	0.8          	0.88888889   	4      	0.76116645      
3.1.7        	KOALA        	1      	2      	0      	1.0          	0.33333333   	0.5          	4      	-0.71329433     
1.6.99       	E2P2         	24     	281    	0      	1.0          	0.07868852   	0.14589665   	5      	-1.0676111      
1.6.99       	PRIAM        	19     	0      	0      	1.0          	1.0          	1.0          	5      	0.96742716      
1.6.99       	KOALA        	19     	1      	0      	1.0          	0.95         	0.97435897   	5      	0.9063333       
1.6.99       	KAAS         	16     	7      	0      	1.0          	0.69565217   	0.82051282   	5      	0.53977016      
1.6.99       	Blast2Go     	20     	1335   	0      	1.0          	0.01476015   	0.02909091   	5      	-1.34591952     
5.3.99       	E2P2         	10     	2      	0      	1.0          	0.83333333   	0.90909091   	6      	0.0769906       
5.3.99       	PRIAM        	8      	0      	0      	1.0          	1.0          	1.0          	6      	0.71857891      
5.3.99       	KOALA        	10     	0      	0      	1.0          	1.0          	1.0          	6      	0.71857891      
