EC           	PROG        	TP    	FP    	FN    	SENS        	PREC        	F1SCORE     	N     	ZSCORE         
1            	E2P2         	3444   	410    	0      	1.0          	0.89361702   	0.94382022   	6      	-1.05915448     
1            	PRIAM        	2796   	8      	0      	1.0          	0.99714693   	0.99857143   	6      	0.9467294       
1            	KOALA        	3327   	24     	0      	1.0          	0.99283796   	0.99640611   	6      	0.86740001      
1            	KAAS         	2224   	18     	0      	1.0          	0.99197145   	0.99596955   	6      	0.85140605      
1            	INTERPRO     	1201   	69     	0      	1.0          	0.94566929   	0.97207608   	6      	-0.02396322     
1            	Blast2Go     	2955   	448    	0      	1.0          	0.86835145   	0.92953759   	6      	-1.58241776     
3            	E2P2         	2912   	753    	0      	1.0          	0.79454297   	0.88551011   	6      	-0.48844895     
3            	PRIAM        	2338   	74     	0      	1.0          	0.96932007   	0.98442105   	6      	0.86174258      
3            	KOALA        	2125   	130    	0      	1.0          	0.94235033   	0.97031963   	6      	0.66925004      
3            	KAAS         	1608   	107    	0      	1.0          	0.93760933   	0.96780018   	6      	0.63485809      
3            	INTERPRO     	621    	71     	0      	1.0          	0.89739884   	0.94592536   	6      	0.33625415      
3            	Blast2Go     	2343   	1370   	0      	1.0          	0.63102612   	0.77377807   	6      	-2.0136559      
2            	E2P2         	3927   	407    	0      	1.0          	0.90609137   	0.95073236   	6      	-1.48590442     
2            	PRIAM        	3419   	91     	0      	1.0          	0.97407407   	0.98686679   	6      	1.52313966      
2            	KOALA        	3219   	155    	0      	1.0          	0.95406046   	0.97649022   	6      	0.65904532      
2            	KAAS         	2316   	119    	0      	1.0          	0.95112936   	0.97495264   	6      	0.53100549      
2            	INTERPRO     	1003   	80     	0      	1.0          	0.92613112   	0.96164909   	6      	-0.57682901     
2            	Blast2Go     	2914   	238    	0      	1.0          	0.92449239   	0.96076492   	6      	-0.65045703     
5            	E2P2         	467    	39     	0      	1.0          	0.9229249    	0.95991778   	6      	-0.67009501     
5            	PRIAM        	450    	5      	0      	1.0          	0.98901099   	0.99447514   	6      	1.42622327      
5            	KOALA        	416    	21     	0      	1.0          	0.95194508   	0.97538101   	6      	0.26793532      
5            	KAAS         	303    	15     	0      	1.0          	0.95283019   	0.97584541   	6      	0.29610675      
5            	INTERPRO     	159    	7      	0      	1.0          	0.95783133   	0.97846154   	6      	0.45480641      
5            	Blast2Go     	420    	52     	0      	1.0          	0.88983051   	0.94170404   	6      	-1.77497675     
4            	E2P2         	1372   	76     	0      	1.0          	0.94751381   	0.97304964   	6      	-1.61546207     
4            	PRIAM        	1294   	18     	0      	1.0          	0.98628049   	0.99309286   	6      	1.41869442      
4            	KOALA        	1235   	34     	0      	1.0          	0.97320725   	0.98642173   	6      	0.40881415      
4            	KAAS         	872    	29     	0      	1.0          	0.96781354   	0.98364354   	6      	-0.01175017     
4            	INTERPRO     	584    	14     	0      	1.0          	0.97658863   	0.98815567   	6      	0.67129919      
4            	Blast2Go     	1287   	58     	0      	1.0          	0.95687732   	0.97796352   	6      	-0.87159552     
6            	E2P2         	350    	20     	0      	1.0          	0.94594595   	0.97222222   	6      	-0.84838169     
6            	PRIAM        	330    	5      	0      	1.0          	0.98507463   	0.9924812    	6      	0.87236263      
6            	KOALA        	363    	6      	0      	1.0          	0.98373984   	0.99180328   	6      	0.81478189      
6            	KAAS         	311    	7      	0      	1.0          	0.97798742   	0.98887122   	6      	0.56574045      
6            	INTERPRO     	116    	3      	0      	1.0          	0.97478992   	0.98723404   	6      	0.4266827       
6            	Blast2Go     	354    	29     	0      	1.0          	0.92428198   	0.96065129   	6      	-1.83118597     
