ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
3.1.22.4	0	0	0	0	0	0,2
4.6.1.16	1,0	1,0	1,0	1,0	1,0	0,75
4.6.1.17	0	0	1,0	1,0	0	1,0
4.6.1.12	1,0	1,0	1,0	1,0	1,0	1,0
1.14.19.52	0	0	0	1,0	0	0
1.1.5.3	1,0	1,0	1,0	1,0	0	1,0
4.2.3.119	0,26666667	1,0	0	0	0	0
4.2.3.114	1,0	1,0	1,0	0	0	1,0
4.2.3.115	1,0	1,0	0	0	0	0
4.2.3.116	0,5	1,0	0	0	0	0
4.2.3.117	1,0	1,0	1,0	0	0	0,28571429
4.2.3.110	1,0	1,0	0	0	0	0
4.2.3.111	0,6	1,0	0	0	0	0
4.2.3.112	0,4	0,4	0	0	0	0
4.2.3.113	0,4	1,0	0	0	0	0
1.17.4.1	0,83333333	1,0	0,83333333	1,0	1,0	1,0
3.1.4.46	0,56521739	1,0	1,0	1,0	0	1,0
3.5.1.122	0	0	1,0	1,0	0	0
3.5.1.127	0	0	0,28571429	1,0	0	0
1.8.7.2	0,75	1,0	1,0	1,0	0	1,0
1.8.7.1	1,0	1,0	1,0	0,8	1,0	1,0
6.3.2.17	1,0	0,75	1,0	1,0	0,66666667	0,375
3.6.1.18	1,0	1,0	1,0	1,0	0	1,0
6.3.2.12	1,0	0	1,0	1,0	0	0,14285714
2.7.7.19	0,66666667	1,0	1,0	1,0	1,0	1,0
2.7.7.18	1,0	1,0	1,0	1,0	0	1,0
2.7.7.15	1,0	1,0	1,0	1,0	0	1,0
2.7.7.14	1,0	1,0	1,0	1,0	0	1,0
2.7.7.13	1,0	1,0	1,0	1,0	0	1,0
1.4.3.16	1,0	1,0	1,0	1,0	1,0	1,0
1.4.1.14	1,0	1,0	1,0	1,0	0	1,0
1.1.1.234	1,0	1,0	1,0	1,0	0	1,0
1.1.1.237	1,0	1,0	0	0	0	1,0
1.1.1.236	0,15789474	0,42857143	0	0	0	0,75
4.4.1.28	0	0	0,75	0,5	0	0
4.4.1.26	1,0	1,0	0	0	0	0
1.14.13.205	0	0	1,0	1,0	0	0
2.5.1.79	1,0	1,0	1,0	1,0	0	1,0
2.5.1.78	1,0	1,0	1,0	1,0	0	1,0
2.5.1.75	0,66666667	1,0	1,0	1,0	0	0,25
2.5.1.70	1,0	1,0	0	0	0	0
2.5.1.72	1,0	1,0	1,0	1,0	0	0
2.1.1.41	0,28571429	1,0	1,0	1,0	0	0,66666667
2.1.1.42	1,0	1,0	0	0	0	0,125
2.1.1.43	0,71153846	0,90243902	0,89473684	0,80952381	1,0	0,84090909
2.1.1.45	1,0	1,0	1,0	1,0	1,0	1,0
2.1.1.46	0,8	1,0	0	0	0	0,4
6.2.1.12	1,0	1,0	0,73076923	0,57142857	0	0,9047619
2.7.1.50	1,0	1,0	1,0	1,0	1,0	1,0
2.7.1.52	1,0	1,0	1,0	1,0	0	1,0
2.4.1.85	0,5	1,0	0	0	0	1,0
2.3.1.168	0	1,0	1,0	1,0	0	1,0
3.5.3.11	0	0	0	0	0	0,4
2.1.1.320	0	0	0,66666667	0,66666667	0	0
2.3.1.160	0,5	1,0	0	0	0	1,0
2.3.1.162	0,33333333	1,0	0	0	0	0,66666667
2.3.1.166	1,0	1,0	0	0	0	0,33333333
2.3.1.167	0,5	1,0	0	0	0	1,0
1.14.13.39	0,66666667	1,0	1,0	1,0	0	1,0
2.4.1.239	0	0	0	0	0	1,0
2.4.1.238	1,0	1,0	0	0	0	1,0
1.7.1.2	1,0	1,0	0,125	0	0	1,0
2.4.1.236	1,0	1,0	0	0	0	1,0
2.4.1.234	1,0	1,0	0	0	0	1,0
1.14.13.119	0,5	1,0	0	0	0	0,25
1.14.13.115	1,0	0	0	0	0	0,25
1.7.7.1	1,0	1,0	1,0	1,0	0	1,0
2.1.1.212	0,75	1,0	0	0	0	0,6
4.2.1.2	1,0	1,0	1,0	1,0	1,0	1,0
2.1.1.216	1,0	1,0	1,0	1,0	0	0
3.4.23.12	0,15384615	1,0	0	0	0	0
1.2.3.4	1,0	1,0	0	0	0	0,23529412
1.2.3.7	0,5	1,0	0	1,0	0	0,71428571
1.2.3.1	0,4	1,0	0	0	0	0,54545455
3.5.4.5	0,77777778	0,875	0,77777778	1,0	0,75	0,77777778
1.2.1.9	1,0	1,0	1,0	1,0	0	0,75
1.2.1.8	1,0	0,9	0,71428571	0,625	0	0,90909091
1.2.1.3	1,0	1,0	1,0	1,0	0	0,52173913
4.2.1.19	1,0	1,0	1,0	1,0	1,0	1,0
1.4.3.5	1,0	1,0	1,0	1,0	1,0	1,0
2.3.1.95	1,0	1,0	0	0	0	0,88888889
4.2.1.11	1,0	1,0	1,0	1,0	1,0	1,0
2.3.1.97	1,0	1,0	1,0	1,0	1,0	1,0
2.3.1.91	1,0	0	0	1,0	0	1,0
2.3.1.93	1,0	1,0	0	0	0	1,0
4.2.1.17	0,05882353	1,0	1,0	1,0	0	1,0
3.6.1.53	1,0	1,0	1,0	1,0	0	0
4.2.3.28	1,0	1,0	0	0	0	1,0
3.6.1.55	0	0,5	0,5	1,0	0	0
1.14.14.18	0,66666667	0,8	0	0	1,0	0,5
4.2.3.23	0,6	1,0	0	0	0	0,77777778
1.14.14.17	1,0	1,0	1,0	1,0	1,0	1,0
4.2.3.21	0,8	0,5	0	0	0	0,8
4.2.3.20	1,0	1,0	0	0	0	0,33333333
4.2.3.27	0,8	1,0	0,36363636	0	0	0,8
4.2.3.26	1,0	1,0	0	0	0	0,71428571
4.2.3.25	0	1,0	0	1,0	0	0,5
2.1.1.103	0,42857143	0,75	0,75	0,66666667	1,0	0,75
1.14.13.71	0,8	1,0	0	0	0	0,57142857
1.14.13.70	0,75	1,0	0,75	1,0	0	1,0
1.14.13.73	1,0	0	0	0	0	1,0
1.14.13.77	1,0	1,0	0	0	0	1,0
1.14.13.76	1,0	1,0	0	0	0	0,5
1.14.13.79	0,8	0,8	0,66666667	1,0	0	0
1.14.13.78	0,33333333	0,66666667	0,33333333	1,0	0	0,33333333
1.3.1.92	1,0	1,0	1,0	0	0	0
1.3.1.93	1,0	1,0	1,0	1,0	0	1,0
1.3.1.94	1,0	1,0	1,0	1,0	0	1,0
1.3.1.99	1,0	1,0	0	0	0	0
3.5.4.19	1,0	1,0	1,0	1,0	0	1,0
3.5.4.16	1,0	1,0	1,0	1,0	1,0	1,0
3.6.2.1	0,5	0	0	0	0	0,5
1.13.11.70	0,5	0,66666667	0,66666667	1,0	0	0,66666667
1.1.99.2	0,5	0	0	0	0	0,25
1.1.1.133	1,0	0,25	0	0	0	1,0
4.1.3.17	0	1,0	0	0	0	1,0
2.7.7.23	1,0	1,0	1,0	1,0	0	1,0
2.7.7.27	0,96969697	0,96551724	0,96875	0,96	1,0	0,96875
1.4.3.21	1,0	1,0	1,0	1,0	1,0	0,83333333
1.1.1.223	1,0	1,0	0	0	0	1,0
3.4.24.61	0	0	1,0	1,0	0	0
4.4.1.11	1,0	1,0	1,0	1,0	0	1,0
4.4.1.16	0	1,0	1,0	1,0	0	1,0
4.4.1.14	0,95833333	0,95833333	0,95833333	0,88888889	0	0,88461538
4.4.1.15	1,0	1,0	1,0	1,0	0	1,0
2.5.1.84	0,5	1,0	0,5	0,5	0	0,5
2.5.1.85	0,5	1,0	0,5	0,5	0	0,5
2.5.1.87	1,0	1,0	0,09090909	0,125	0	0
2.1.1.53	1,0	1,0	0	0	0	0,66666667
2.1.1.56	1,0	1,0	1,0	1,0	0	1,0
1.11.1.6	1,0	1,0	1,0	1,0	1,0	0,95348837
2.3.1.50	1,0	1,0	1,0	1,0	0	1,0
4.1.1.19	1,0	1,0	1,0	1,0	1,0	1,0
4.2.2.2	1,0	1,0	1,0	1,0	0	0,97435897
4.1.1.15	1,0	1,0	1,0	1,0	1,0	1,0
4.1.1.17	1,0	1,0	1,0	1,0	0	1,0
1.1.1.49	1,0	1,0	1,0	1,0	1,0	1,0
1.1.1.44	1,0	1,0	1,0	1,0	0,8	0,53846154
1.1.1.41	0,71428571	1,0	0,71428571	0,71428571	0	0,83333333
1.1.1.40	0,92857143	1,0	1,0	1,0	0	0,66666667
1.1.1.42	1,0	1,0	1,0	1,0	1,0	1,0
4.99.1.4	0	0	1,0	1,0	0	1,0
2.4.1.259	1,0	1,0	1,0	1,0	0	1,0
2.3.1.110	0,5	1,0	0	0	0	1,0
2.4.1.258	1,0	1,0	1,0	1,0	0	1,0
2.4.99.13	1,0	1,0	1,0	1,0	0	0
1.14.13.109	0,16666667	1,0	0	0	0	0,5
3.4.21.25	0,04347826	0,5	0	0	0	0
1.14.13.104	0,5	1,0	0	0	0	1,0
1.14.19.47	0	0	1,0	0	0	0
1.14.13.102	1,0	1,0	0	0	0	0,75
2.4.1.12	0,5952381	1,0	1,0	0,83333333	0	0,38461538
2.4.1.13	1,0	1,0	1,0	1,0	1,0	0,65306122
2.4.1.14	1,0	1,0	1,0	1,0	1,0	1,0
2.4.1.15	1,0	1,0	1,0	1,0	0	1,0
2.4.1.17	0,14285714	1,0	0	0	0	0,03333333
2.4.1.18	1,0	1,0	1,0	1,0	1,0	1,0
2.1.1.267	0,5	1,0	0	0	0	0,06666667
2.4.1.324	0,33333333	1,0	0,14285714	0	0	0
2.4.1.323	1,0	1,0	1,0	0	0	1,0
3.5.99.10	1,0	1,0	1,0	1,0	0	0
2.3.1.61	1,0	1,0	1,0	1,0	0	1,0
5.1.2.3	1,0	1,0	0	1,0	0	1,0
2.4.2.9	1,0	1,0	1,0	1,0	1,0	1,0
3.6.1.25	1,0	1,0	0	0	1,0	1,0
3.6.1.21	1,0	1,0	1,0	1,0	0	0,2
3.6.1.22	0,5	0,77777778	1,0	1,0	0	0,75
3.6.1.23	1,0	1,0	1,0	1,0	0	1,0
4.2.3.16	0,33333333	1,0	1,0	0	0	0,57142857
4.2.3.17	1,0	1,0	0	0	0	1,0
4.2.3.15	1,0	0,77777778	1,0	1,0	0	0,5
4.2.3.13	0,88888889	1,0	0	0	0	0,88888889
4.2.3.10	1,0	1,0	0	0	0	0,25
2.7.11.2	1,0	1,0	1,0	1,0	0	1,0
2.7.11.1	0,79310345	0,76019185	0,91402715	0,95151515	0	0
3.2.1.182	1,0	1,0	0	0	0	0,875
1.14.13.47	1,0	1,0	0	0	0	0,57142857
3.2.1.186	0,66666667	1,0	0	0	0	0
3.2.1.188	1,0	1,0	0	0	0	0
2.7.8.41	0	1,0	0,5	0,5	0	0
1.6.99.3	0,07868852	1,0	1,0	0,88888889	0	0,01481481
1.3.1.83	1,0	1,0	1,0	1,0	0	1,0
1.3.1.82	1,0	1,0	0	0	0	1,0
1.3.1.81	1,0	1,0	0	0	0	1,0
2.3.1.249	0	0	0,5	1,0	0	0
2.3.1.248	0	0	0	1,0	0	0
3.5.4.26	0,66666667	1,0	0,5	0,5	0	0,5
3.5.4.25	1,0	0,83333333	0,83333333	0,83333333	1,0	0,83333333
3.5.1.98	0,57142857	1,0	1,0	1,0	1,0	0,69565217
3.5.1.99	1,0	1,0	0	0	0	1,0
3.4.24.84	1,0	1,0	1,0	1,0	0	0
2.7.1.100	1,0	1,0	1,0	1,0	1,0	1,0
