B9SL58       	6.3.4.4     
P43210       	4.2.1.24    
P46488       	1.1.1.37    
O24047       	1.1.1.37    
Q38IY3       	4.1.1.50    
Q9SID3       	3.1.2.6     
Q07511       	1.17.1.9    
C5WNV2       	6.3.4.4     
Q96471       	4.1.1.50    
P30361       	1.10.9.1    
Q9LG11       	2.3.1.48    
Q75W54       	3.2.1.152   
Q9LY51       	3.1.4.11    
P29333       	5.3.1.9     
B6TTW1       	4.2.1.104   
Q2QRX6       	2.1.1.45    
O04226       	2.7.2.11    
O65354       	4.1.1.50    
P29756       	1.11.1.6    
Q9FUZ1       	2.5.1.6     
E0ZS48       	3.5.1.5     
P49292       	4.1.1.49    
Q03163       	1.1.1.34    
P29102       	1.1.1.85    
Q9FKG3       	2.7.1.11    
Q40271       	5.5.1.4     
O49954       	1.4.4.2     
P30694       	4.1.1.31    
Q5ZAQ2       	2.8.1.8     
C5XKZ1       	2.8.1.8     
O65398       	4.4.1.5     
B9T3R0       	4.2.1.104   
A9NYY0       	2.5.1.6     
B6U151       	6.3.5.7     
O24495       	3.1.2.6     
Q10G39       	1.2.4.1     
Q8L743       	1.1.1.49    
Q9FMT1       	1.1.1.85    
Q42553       	5.3.3.2     
Q9ZSV1       	2.4.2.30    
P49361       	1.4.4.2     
P49362       	1.4.4.2     
A5CB81       	2.8.1.8     
P37215       	2.5.1.54    
Q42662       	2.1.1.14    
P42801       	5.5.1.4     
Q8W035       	6.3.2.17    
Q02909       	4.1.1.31    
Q9FLW9       	2.7.1.40    
Q6YXY2       	2.3.1.48    
Q9FFC7       	6.1.1.7     
F4K2A1       	6.3.2.17    
Q11207       	2.4.2.30    
Q41437       	1.1.1.34    
Q41438       	1.1.1.34    
Q9FVG7       	2.5.1.6     
Q9LSU6       	4.1.1.50    
Q851S8       	6.3.4.4     
P23540       	3.1.27.1    
Q0D8D4       	6.3.5.1     
Q9SUC0       	1.1.1.31    
Q0JMW0       	2.7.6.2     
Q9S7L8       	3.5.4.5     
Q00583       	1.1.1.34    
B9N2B0       	2.8.1.8     
Q9FUJ1       	1.5.99.12   
O04904       	3.5.2.3     
Q9C5X9       	2.3.1.48    
P49078       	6.3.5.4     
Q00218       	2.5.1.54    
Q9LGU6       	2.5.1.6     
Q9C5E5       	2.7.1.107   
Q9SU86       	3.5.4.5     
Q7X8Z8       	6.3.5.7     
P48494       	5.3.1.1     
P48497       	5.3.1.1     
Q8W4F3       	6.1.1.18    
P52422       	2.1.2.2     
Q6YDN9       	2.4.1.207   
Q94E75       	3.1.3.24    
P12782       	2.7.2.3     
P12783       	2.7.2.3     
Q6AVG6       	1.17.7.4    
Q9SW95       	6.1.1.22    
A5BJL8       	4.2.1.104   
Q9LEJ0       	4.2.1.11    
Q6Z398       	2.7.1.1     
Q9LIK0       	2.7.1.40    
Q96286       	4.1.1.50    
Q8LNZ3       	5.1.3.2     
P0C549       	1.11.1.6    
B9DGU7       	2.7.6.2     
B8AL33       	2.3.1.35    
Q9LUT2       	2.5.1.6     
O48905       	1.1.1.37    
P18122       	1.11.1.6    
P18123       	1.11.1.6    
O80452       	3.5.4.6     
Q9ZRA2       	1.13.11.5   
Q42972       	1.1.1.37    
Q42971       	4.2.1.11    
Q5Z8Q9       	2.4.2.30    
P22220       	4.1.1.19    
P22221       	2.7.9.1     
Q3E9D5       	4.1.1.50    
Q9M0G0       	3.4.19.13   
Q10M50       	6.6.1.1     
P55307       	1.11.1.6    
P55308       	1.11.1.6    
P25851       	3.1.3.11    
Q43086       	2.1.3.2     
P55311       	1.11.1.6    
P55312       	1.11.1.6    
Q04694       	4.1.1.50    
Q60DX1       	2.7.6.2     
Q9S7H8       	5.4.4.2     
P13244       	2.3.3.9     
Q9M9V6       	5.4.4.2     
Q96563       	1.2.1.70    
Q94FA5       	2.5.1.6     
Q94FA4       	2.5.1.6     
B0M3E8       	5.1.3.2     
Q9SNN0       	4.1.1.19    
Q9C5U8       	1.1.1.23    
O82399       	1.1.1.37    
P24571       	2.3.3.9     
Q10L32       	1.8.4.12    
O49901       	1.3.5.6     
P31593       	5.4.3.8     
P40880       	4.2.1.1     
Q43820       	4.1.1.50    
Q9LIK9       	2.7.7.4     
Q39366       	4.4.1.5     
P54767       	4.1.1.15    
P17067       	4.2.1.1     
Q9FJU4       	1.13.99.1   
P25696       	4.2.1.11    
P25697       	2.7.1.19    
Q2TE74       	2.3.2.15    
P30567       	1.11.1.6    
Q6T7E8       	6.3.4.4     
Q8L799       	1.13.99.1   
