Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q43495	108_SOLLC	reviewed	Protein 108		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	102
Q6V4H0	10HGO_CATRO	reviewed	8-hydroxygeraniol dehydrogenase (Cr10HGO) (EC 1.1.1.324)	10HGO	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	360
P19084	11S3_HELAN	reviewed	11S globulin seed storage protein G3 (Helianthinin-G3) [Cleaved into: 11S globulin seed storage protein G3 acidic chain; 11S globulin seed storage protein G3 basic chain]	HAG3	Helianthus annuus (Common sunflower)	493
Q05349	12KD_FRAAN	reviewed	Auxin-repressed 12.5 kDa protein		Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana)	111
P48347	14310_ARATH	reviewed	14-3-3-like protein GF14 epsilon (General regulatory factor 10)	GRF10 At1g22300 T16E15.8	Arabidopsis thaliana (Mouse-ear cress)	254
Q9C5W6	14312_ARATH	reviewed	14-3-3-like protein GF14 iota (General regulatory factor 12)	GRF12 At1g26480 T1K7.15	Arabidopsis thaliana (Mouse-ear cress)	268
P42643	14331_ARATH	reviewed	14-3-3-like protein GF14 chi (General regulatory factor 1)	GRF1 At4g09000 F23J3.30	Arabidopsis thaliana (Mouse-ear cress)	267
Q84J55	14331_ORYSJ	reviewed	14-3-3-like protein GF14-A (G-box factor 14-3-3 homolog A)	GF14A Os08g0480800 LOC_Os08g37490 OJ1113_A10.40 OSJNBb0092C08.10	Oryza sativa subsp. japonica (Rice)	264
P93206	14331_SOLLC	reviewed	14-3-3 protein 1	TFT1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	249
Q41418	14331_SOLTU	reviewed	14-3-3-like protein		Solanum tuberosum (Potato)	259
Q01525	14332_ARATH	reviewed	14-3-3-like protein GF14 omega (General regulatory factor 2)	GRF2 GF14 At1g78300 F3F9.16	Arabidopsis thaliana (Mouse-ear cress)	259
P85939	14332_PSEMZ	reviewed	14-3-3-like protein 2 (Fragments)		Pseudotsuga menziesii (Douglas-fir) (Abies menziesii)	66
P93208	14332_SOLLC	reviewed	14-3-3 protein 2	TFT2	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	254
Q6ZKC0	14333_ORYSJ	reviewed	14-3-3-like protein GF14-C (G-box factor 14-3-3 homolog C)	GF14C Os08g0430500 LOC_Os08g33370 OJ1124_B05.7	Oryza sativa subsp. japonica (Rice)	256
P85942	14334_PSEMZ	reviewed	14-3-3-like protein 4 (Fragments)		Pseudotsuga menziesii (Douglas-fir) (Abies menziesii)	28
P93210	14335_SOLLC	reviewed	14-3-3 protein 5	TFT5	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	255
P29305	1433A_HORVU	reviewed	14-3-3-like protein A (14-3-3A)		Hordeum vulgare (Barley)	262
Q43470	1433B_HORVU	reviewed	14-3-3-like protein B (14-3-3B)		Hordeum vulgare (Barley)	262
Q96452	1433C_SOYBN	reviewed	14-3-3-like protein C (SGF14C)	GF14C	Glycine max (Soybean) (Glycine hispida)	258
Q96453	1433D_SOYBN	reviewed	14-3-3-like protein D (SGF14D)	GF14D	Glycine max (Soybean) (Glycine hispida)	261
O65352	1433_HELAN	reviewed	14-3-3-like protein		Helianthus annuus (Common sunflower)	259
Q41246	1433_TOBAC	reviewed	14-3-3-like protein		Nicotiana tabacum (Common tobacco)	251
P14009	14KD_DAUCA	reviewed	14 kDa proline-rich protein DC2.15		Daucus carota (Wild carrot)	137
Q9LQ10	1A110_ARATH	reviewed	Probable aminotransferase ACS10 (EC 2.6.1.-)	ACS10 At1g62960 F16P17.11	Arabidopsis thaliana (Mouse-ear cress)	557
Q8GYY0	1A112_ARATH	reviewed	Probable aminotransferase ACS12 (EC 2.6.1.-)	ACS12 At5g51690 K10D11.3 MIO24.18	Arabidopsis thaliana (Mouse-ear cress)	495
P23599	1A11_CUCMA	reviewed	1-aminocyclopropane-1-carboxylate synthase CMW33 (ACC synthase) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase)	ACS1 ACCW	Cucurbita maxima (Pumpkin) (Winter squash)	493
Q9MB95	1A11_PRUMU	reviewed	1-aminocyclopropane-1-carboxylate synthase 1 (ACC synthase 1) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase)	ACS1	Prunus mume (Japanese apricot) (Armeniaca mume)	492
Q00379	1A12_CUCPE	reviewed	1-aminocyclopropane-1-carboxylate synthase 2 (ACC synthase 2) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase)	ACS2 ACC1B	Cucurbita pepo (Vegetable marrow) (Summer squash)	494
Q42881	1A13_SOLLC	reviewed	1-aminocyclopropane-1-carboxylate synthase 3 (ACC synthase 3) (EC 4.4.1.14) (Le-ACS3) (ACS-3) (S-adenosyl-L-methionine methylthioadenosine-lyase 3)	ACS3	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	469
Q43309	1A14_ARATH	reviewed	1-aminocyclopropane-1-carboxylate synthase 4 (ACC synthase 4) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 4)	ACS4 ACC4 At2g22810 T20K9.2	Arabidopsis thaliana (Mouse-ear cress)	474
Q9T065	1A18_ARATH	reviewed	1-aminocyclopropane-1-carboxylate synthase 8 (ACC synthase 8) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 8)	ACS8 At4g37770 T28I19.50	Arabidopsis thaliana (Mouse-ear cress)	469
Q84PN8	1FEH1_WHEAT	reviewed	Fructan 1-exohydrolase w1 (EC 3.2.1.153)	1-FEHw1	Triticum aestivum (Wheat)	597
P48391	2PS_GERHY	reviewed	2-pyrone synthase (2-PS) (EC 2.3.1.-) (G2ps1)	2PS CHS2	Gerbera hybrida (Daisy)	402
P04403	2SS1_BEREX	reviewed	2S sulfur-rich seed storage protein 1 (allergen Ber e 1) [Cleaved into: 2S sulfur-rich seed storage protein small chain 1 (2S albumin 1 small subunit); 2S sulfur-rich seed storage protein large chain 1B (2S albumin 1 large subunit)]	BE2S1	Bertholletia excelsa (Brazil nut)	146
